id,URL,RUN_NAME,STATUS,ISP,RUN_TIME,IP_LOCATION,IP,ISP_SHORT
616,http://radiorocking.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:24,"India, Karnataka, Bangalore",103.227.96.80,ACT
617,http://rkmania.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:25,"India, Karnataka, Bangalore",103.227.96.80,ACT
618,http://songbox.pk,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:27,"India, Karnataka, Bangalore",103.227.96.80,ACT
619,http://songsinn.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:29,"India, Karnataka, Bangalore",103.227.96.80,ACT
620,http://songsnonstop.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:33,"India, Karnataka, Bangalore",103.227.96.80,ACT
621,http://songsrack.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:35,"India, Karnataka, Bangalore",103.227.96.80,ACT
622,http://songsrip.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:36,"India, Karnataka, Bangalore",103.227.96.80,ACT
623,http://songzilla.com,FIRST_RUN,CANT DECIDE,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:39,"India, Karnataka, Bangalore",103.227.96.80,ACT
624,http://topupmpcom,FIRST_RUN,"UNREACHABLE, RequestException",Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:41,"India, Karnataka, Bangalore",103.227.96.80,ACT
625,http://towncom,FIRST_RUN,"UNREACHABLE, RequestException",Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:42,"India, Karnataka, Bangalore",103.227.96.80,ACT
626,http://100india.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:44,"India, Karnataka, Bangalore",103.227.96.80,ACT
627,http://musicindiaonline.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:46,"India, Karnataka, Bangalore",103.227.96.80,ACT
628,http://aflatune.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:47,"India, Karnataka, Bangalore",103.227.96.80,ACT
629,http://bharatlover.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:49,"India, Karnataka, Bangalore",103.227.96.80,ACT
630,http://cckerala.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:50,"India, Karnataka, Bangalore",103.227.96.80,ACT
631,http://centralmusiq.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:52,"India, Karnataka, Bangalore",103.227.96.80,ACT
632,http://chimatamusic.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:54,"India, Karnataka, Bangalore",103.227.96.80,ACT
633,http://desimusic.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:55,"India, Karnataka, Bangalore",103.227.96.80,ACT
634,http://desishock.net,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:57,"India, Karnataka, Bangalore",103.227.96.80,ACT
635,http://dhool.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:07:59,"India, Karnataka, Bangalore",103.227.96.80,ACT
636,http://dishant.com,FIRST_RUN,BLOCKED,Atria Convergence Technologies Pvt. Ltd.,2015-01-02 21:08:00,"India, Karnataka, Bangalore",103.227.96.80,ACT
